,id,host_id,host_response_rate,host_total_listings_count,host_is_superhost,neighbourhood,property_type,room_type,accommodates,guests_included,bathrooms,bedrooms,beds,price,number_of_reviews,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,score
128,7604621,39884676,100.0,1.0,f,Adams,Townhouse,Entire home/apt,2,1,1.0,0.0,1.0,85.0,11,95.0,10.0,10.0,9.0,10.0,10.0,9.0,0.98531723
129,3303978,16687781,100.0,1.0,t,Adams,House,Entire home/apt,2,2,1.0,1.0,1.0,80.0,39,98.0,10.0,10.0,10.0,10.0,10.0,10.0,0.867922902
130,7067082,25171396,100.0,1.0,t,Adams,Loft,Private room,3,1,1.0,1.0,1.0,49.0,10,90.0,9.0,9.0,10.0,10.0,10.0,9.0,0.946246088
131,3121829,4152568,100.0,1.0,f,Adams,House,Entire home/apt,4,1,2.5,3.0,2.0,100.0,6,90.0,10.0,10.0,9.0,9.0,10.0,9.0,0.904936552
132,2539881,12503146,100.0,1.0,f,Adams,Apartment,Entire home/apt,2,1,1.0,1.0,1.0,79.0,4,85.0,8.0,8.0,10.0,10.0,10.0,10.0,0.9359598159999999
133,3678718,5776729,90.0,1.0,t,Adams,Apartment,Entire home/apt,2,2,1.0,0.0,1.0,75.0,79,96.0,10.0,10.0,10.0,10.0,10.0,10.0,0.5
134,4694479,20069008,100.0,2.0,t,Adams,House,Private room,2,0,1.0,1.0,1.0,57.0,50,96.0,10.0,10.0,10.0,10.0,10.0,10.0,0.916773796
135,6646843,34793330,100.0,1.0,f,West Woodland,Apartment,Entire home/apt,4,2,1.0,1.0,2.0,99.0,28,89.0,10.0,9.0,10.0,10.0,10.0,9.0,0.9881747959999999
136,1364440,256203,63.0,1.0,f,West Woodland,Apartment,Private room,1,1,1.0,1.0,1.0,55.0,20,100.0,10.0,10.0,10.0,10.0,9.0,10.0,0.9236634970000001
137,1781873,2237228,100.0,1.0,f,West Woodland,Apartment,Entire home/apt,2,2,1.0,1.0,1.0,96.0,57,92.0,10.0,9.0,10.0,10.0,9.0,9.0,0.9351161720000001
138,4138423,129014,100.0,2.0,f,West Woodland,House,Entire home/apt,4,2,1.0,1.0,1.0,99.0,38,94.0,10.0,9.0,10.0,10.0,9.0,9.0,0.986881495
139,5562674,28840161,90.0,1.0,f,West Woodland,House,Entire home/apt,4,1,1.0,2.0,2.0,79.0,71,95.0,10.0,10.0,10.0,10.0,10.0,9.0,0.88781631
140,1789341,3979528,100.0,5.0,f,West Woodland,House,Entire home/apt,2,2,1.0,1.0,1.0,115.0,17,99.0,10.0,10.0,10.0,10.0,10.0,10.0,0.9983505009999999
141,4672934,19993125,100.0,2.0,t,West Woodland,House,Entire home/apt,10,6,2.5,3.0,5.0,350.0,13,98.0,10.0,10.0,10.0,10.0,10.0,10.0,0.742803395
142,4550099,15104715,94.88679817905918,1.0,f,West Woodland,House,Entire home/apt,6,5,3.0,3.0,3.0,295.0,3,93.0,9.0,7.0,9.0,10.0,9.0,8.0,0.5
143,1198799,6428916,100.0,1.0,t,West Woodland,House,Private room,2,0,1.5,1.0,1.0,70.0,19,98.0,10.0,10.0,10.0,10.0,10.0,10.0,0.937236428
144,5308429,7849723,100.0,1.0,t,West Woodland,House,Private room,2,1,1.0,1.0,1.0,53.0,18,99.0,10.0,10.0,10.0,10.0,10.0,10.0,0.9923988579999999
145,2769088,5067360,33.0,2.0,f,West Woodland,House,Entire home/apt,4,1,1.0,2.0,2.0,110.0,12,71.0,8.0,6.0,9.0,9.0,9.0,7.0,0.9463889000000001
146,7603135,39549545,94.88679817905918,1.0,f,West Woodland,House,Entire home/apt,4,1,1.0,2.0,2.0,225.0,4,95.0,10.0,10.0,9.0,10.0,10.0,10.0,0.945365608
147,9374365,6407320,100.0,4.0,f,West Woodland,House,Private room,2,2,1.5,1.0,1.0,35.0,7,97.0,10.0,10.0,10.0,10.0,10.0,10.0,0.962716162
148,6106498,31684830,100.0,1.0,f,West Woodland,House,Private room,2,1,1.0,1.0,1.0,55.0,23,97.0,10.0,10.0,10.0,10.0,9.0,10.0,0.9329116940000001
